Vostok composite VRS13 ( a stack of 15 individual isotopic records from snow pits and shallow cores recovered in the vicinity of Vostok Station);0.07
B32Site DML05;0.19
DML Plateau Amundsenisen FB96DML02;0.27
DML Plateau Amundsenisen FB97DML03;0.04
DML Plateau (DML11) FB9803;0.19
DML Plateau (DML18) FB9804;0
DML Plateau (DML19) FB9805;0
DML Plateau (DML05) FB9807;0.38
DML Plateau (DML20) FB9808;0
DML Plateau (DML03) FB9809;0.26
DML Plateau (DML22) FB9811;0.12
DML Plateau (DML23) FB9812;0
DML Plateau (DML16) FB9813;0.21
DML Plateau (DML14) FB9815;0.05
DML Plateau (DML13) FB9816;0.16
DML Plateau (DML12) FB9817;0.1
DML Plateau (DML02) SS9813;0.21
US-ITASE-2002-4;0
Plateau Remote;0.17
TD96 Talos Dome;0.28
SPRESSO (South Pole);0
NUS 08-7;0
NUS 07-1;0.09
